"","day","pft","date","dbh","N_co","SMP","NPP","FSDS","water_def","H20_mort_rate","e_frac","c_repro","light"
"561",140,"earlydi",2003-05-21 11:30:00,500,800,-1841.92710367839,1.80625898683502,16506540.1222229,1622623.59440104,0.000640034862235966,0.0601259160195923,271.507440380191,0.495196203666687
"562",140,"earlydt",2003-05-21 11:30:00,500,800,-1841.92710367839,1.80625898683502,16506540.1222229,1622623.59440104,0.000652912827270895,0.072322415421456,326.582532011551,0.495196203666687
"563",140,"latedi",2003-05-21 11:30:00,500,800,-1841.92710367839,1.80625898683502,16506540.1222229,1622623.59440104,0.000640034862235966,0.0941061453349794,424.950176819272,0.495196203666687
"564",140,"latedt",2003-05-21 11:30:00,500,800,-1841.92710367839,1.80625898683502,16506540.1222229,1622623.59440104,0.000652912827270895,0.0939424887937405,424.211161573355,0.495196203666687
"565",141,"earlydi",2003-05-22 11:30:00,500,800,-2568.57628377279,1.44420270599426,16442820.2018738,1622623.59440104,0.000640034862235966,0.0601259160195923,217.085026539697,0.493284606056213
"566",141,"earlydt",2003-05-22 11:30:00,500,800,-2568.57628377279,1.44420270599426,16442820.2018738,1622623.59440104,0.000652912827270895,0.072322415421456,261.120570139269,0.493284606056213
"567",141,"latedi",2003-05-22 11:30:00,500,800,-2568.57628377279,1.44420270599426,16442820.2018738,1622623.59440104,0.000640034862235966,0.0941061453349794,339.770874358665,0.493284606056213
"568",141,"latedt",2003-05-22 11:30:00,500,800,-2568.57628377279,1.44420270599426,16442820.2018738,1622623.59440104,0.000652912827270895,0.0939424887937405,339.179991309388,0.493284606056213
"569",142,"earlydi",2003-05-23 11:30:00,500,800,-3305.82202148438,1.5774273822899,20471219.7555542,1622623.59440104,0.000640034862235966,0.0601259160195923,237.110665786419,0.614136592666626
"570",142,"earlydt",2003-05-23 11:30:00,500,800,-3305.82202148438,1.5774273822899,20471219.7555542,1622623.59440104,0.000652912827270895,0.072322415421456,285.208396097875,0.614136592666626
"571",142,"latedi",2003-05-23 11:30:00,500,800,-3305.82202148438,1.5774273822899,20471219.7555542,1622623.59440104,0.000640034862235966,0.0941061453349794,371.114026232873,0.614136592666626
"572",142,"latedt",2003-05-23 11:30:00,500,800,-3305.82202148438,1.5774273822899,20471219.7555542,1622623.59440104,0.000652912827270895,0.0939424887937405,370.46863545927,0.614136592666626
"573",143,"earlydi",2003-05-24 11:30:00,500,800,-4376.25042724609,1.59137091559387,13405859.9979401,1622623.59440104,0.000640034862235966,0.0601259160195923,239.206585067547,0.402175799938202
"574",143,"earlydt",2003-05-24 11:30:00,500,800,-4376.25042724609,1.59137091559387,13405859.9979401,1622623.59440104,0.000652912827270895,0.072322415421456,287.729471118007,0.402175799938202
"575",143,"latedi",2003-05-24 11:30:00,500,800,-4376.25042724609,1.59137091559387,13405859.9979401,1606882.21367187,0.000633825762059461,0.0941061453349794,374.39445666184,0.402175799938202
"576",143,"latedt",2003-05-24 11:30:00,500,800,-4376.25042724609,1.59137091559387,13405859.9979401,1573481.58033854,0.000633139016850508,0.0939424887937405,373.743361012154,0.402175799938202
"577",144,"earlydi",2003-05-25 11:30:00,500,800,-2466.15905761719,1.31254765269659,7020359.95159149,1524755.47304687,0.0006014313254796,0.0601259160195923,197.295324844371,0.210610798547745
"578",144,"earlydt",2003-05-25 11:30:00,500,800,-2466.15905761719,1.31254765269659,7020359.95159149,1464074.57213542,0.000589115720692584,0.072322415421456,237.31654149695,0.210610798547745
