yr,month,rain,run
2141,11,406.2462563160807,analy_dry75
2141,12,83.27663855161518,analy_dry75
2142,01,11.233395303133875,analy_dry75
2142,02,13.62172088411171,analy_dry75
2142,03,1.7701415035844548,analy_dry75
2142,04,7.342419170890935,analy_dry75
2142,05,136.53092058375478,analy_dry75
2142,06,185.7151689939201,analy_dry75
2142,07,267.2814108431339,analy_dry75
2142,08,183.56463750824332,analy_dry75
2142,09,116.39366779709235,analy_dry75
2142,10,114.71922631608322,analy_dry75
2142,11,503.02574671804905,analy_dry75
2142,12,58.32471366156824,analy_dry75
2143,01,4.250338947895216,analy_dry75
2143,02,14.615464983216953,analy_dry75
2143,03,16.301309336267877,analy_dry75
2143,04,32.26842024887446,analy_dry75
2143,05,173.93395837862045,analy_dry75
2143,06,320.34860879648477,analy_dry75
2143,07,368.209490692243,analy_dry75
2143,08,365.94924218952656,analy_dry75
2143,09,247.73053997196257,analy_dry75
2143,10,332.3666366748512,analy_dry75
2143,11,543.3909296058118,analy_dry75
2143,12,924.9038522131741,analy_dry75
2144,01,22.714316484052688,analy_dry75
2144,02,7.592932791158091,analy_dry75
2144,03,10.078303366026375,analy_dry75
2144,04,13.511919825396035,analy_dry75
2144,05,228.55829999316484,analy_dry75
2144,06,296.98309355881065,analy_dry75
2144,07,336.47702978923917,analy_dry75
2144,08,169.34357767459005,analy_dry75
2144,09,212.51172828488052,analy_dry75
2144,10,284.94292739778757,analy_dry75
2144,11,643.8181308098137,analy_dry75
2144,12,489.67920751310885,analy_dry75
2145,01,2.287683237955207,analy_dry75
2145,02,0.48994991580002534,analy_dry75
2145,03,4.630369012375013,analy_dry75
2145,04,43.232962576439604,analy_dry75
2145,05,252.93026911094785,analy_dry75
2145,06,275.4362889099866,analy_dry75
2145,07,336.346850451082,analy_dry75
2145,08,141.15125422831625,analy_dry75
2145,09,168.17810232751071,analy_dry75
2145,10,294.32363491505384,analy_dry75
2145,11,854.0151223540306,analy_dry75
2145,12,468.17779024131596,analy_dry75
2146,01,3.167753053276101,analy_dry75
2146,02,16.43961757508805,analy_dry75
2146,03,12.36598843097454,analy_dry75
2146,04,15.940440469421446,analy_dry75
2146,05,202.8562020510435,analy_dry75
2146,06,186.79010344203562,analy_dry75
2146,07,398.16184658557177,analy_dry75
2146,08,293.0534704355523,analy_dry75
2146,09,227.50657566357404,analy_dry75
2146,10,244.31952950544655,analy_dry75
2146,11,176.62112885154784,analy_dry75
2146,12,146.76166215213016,analy_dry75
2147,01,5.197914934979053,analy_dry75
2147,02,3.1611457332473947,analy_dry75
2147,03,6.603027204255341,analy_dry75
2147,04,11.734437159611844,analy_dry75
2147,05,270.99169737193733,analy_dry75
2147,06,283.6519887903705,analy_dry75
2147,07,159.9427878507413,analy_dry75
